交易额,商户名称,交易日期,交易时间,星期,节假日,气温,气象站大气压,海平面大气压,相对湿度,平均风速,特殊天象,时间戳,饭点课程_早,饭点课程_午,饭点课程_晚
13.0,学苑食堂香恋香拌砂锅,2022-10-22,12:42,6,1,9,753.8,766.6,43,4,0,1666413720,0,0,0
24.0,美食林陕西刀削面(罐罐面),2022-10-21,17:34,5,0,7,750.7,763.5,81,4,0,1666344840,1,1,1
2.7,友来副食一组,2022-10-20,7:53,4,0,8,753.0,765.8,66,2,0,1666223580,0,1,1
10.0,阳光川蜀源烤鱼,2022-10-19,17:21,3,0,11,747.9,760.5,41,3,0,1666171260,1,1,0
11.3,学苑食堂副食三组,2022-10-19,11:54,3,0,13,750.9,763.5,33,7,0,1666151640,1,1,0
13.5,紫丁香餐吧机器人收银组,2022-10-18,17:30,2,0,4,752.8,765.8,45,3,0,1666085400,1,0,0
26.6,美食林海南鸡饭,2022-10-18,11:49,2,0,8,753.0,765.8,40,3,0,1666064940,1,0,0
3.5,友来副食一组,2022-10-18,7:55,2,0,2,752.7,765.8,70,2,0,1666050900,1,0,0
13.0,阳光川蜀源烤鱼,2022-10-17,17:45,1,0,6,752.9,765.8,53,2,0,1665999900,1,0,1
12.0,学苑食堂副食三组,2022-10-17,11:38,1,0,7,752.1,765.0,53,6,0,1665977880,1,0,1
14.59,阳光副食二组,2022-10-16,17:52,7,1,8,750.7,763.5,43,4,0,1665913920,0,0,0
6.0,学苑食堂主食二组,2022-10-16,11:35,7,1,11,751.6,764.3,35,8,0,1665891300,0,0,0
7.2,学苑食堂副食三组,2022-10-16,11:34,7,1,11,751.6,764.3,35,8,0,1665891240,0,0,0
11.0,学苑食堂重庆小面,2022-10-15,17:02,6,1,13,750.9,763.5,36,2,0,1665824520,0,0,0
10.2,学苑食堂副食三组,2022-10-15,11:47,6,1,16,751.9,764.3,34,2,0,1665805620,0,0,0
10.5,学苑食堂副食三组,2022-10-14,17:59,5,0,11,749.4,762.0,82,2,1,1665741540,1,1,1
6.0,学苑食堂副食三组,2022-10-14,17:53,5,0,11,749.4,762.0,82,2,1,1665741180,1,1,1
2.6,友来副食一组,2022-10-14,7:55,5,0,8,752.2,765.0,93,1,1,1665705300,1,1,1
14.21,阳光副食二组,2022-10-12,17:30,3,0,12,752.4,765.0,44,3,0,1665567000,1,1,0
10.7,学苑食堂副食三组,2022-10-11,17:30,2,0,9,751.5,764.3,50,4,0,1665480600,1,0,0
27.6,美食林海南鸡饭,2022-10-11,11:38,2,0,13,750.9,763.5,36,5,0,1665459480,1,0,0
2.7,友来副食一组,2022-10-11,7:55,2,0,4,750.5,763.5,70,3,0,1665446100,1,0,0
26.0,学苑食堂香恋香拌砂锅,2022-10-10,11:29,1,0,8,747.8,760.5,76,8,0,1665372540,1,0,1
8.0,学苑食堂包子,2022-10-09,16:59,7,0,6,749.1,762.0,100,6,1,1665305940,0,0,0
15.0,阳光川蜀源烤鱼,2022-10-08,16:49,6,0,9,750.8,763.5,71,5,1,1665218940,0,0,0
7.0,学苑食堂副食三组,2022-10-07,17:43,5,1,7,752.1,765.0,53,2,0,1665135780,1,1,1
15.31,阳光副食二组,2022-10-07,11:38,5,1,11,752.3,765.0,41,2,0,1665113880,1,1,1
4.7,友来副食一组,2022-10-07,7:55,5,1,5,753.6,766.6,61,2,0,1665100500,1,1,1
7.4,友来副食一组,2022-10-05,7:56,3,1,2,755.0,768.1,70,5,0,1664927760,1,1,0
13.25,阳光副食二组,2022-10-04,17:20,2,1,6,755.9,768.9,39,3,0,1664875200,1,0,0
28.6,美食林海南鸡饭,2022-10-04,11:39,2,1,8,756.0,768.9,29,8,0,1664854740,1,0,0
4.7,友来副食一组,2022-10-04,7:56,2,1,3,755.8,768.9,65,4,0,1664841360,1,0,0
17.3,民族餐厅旋转小火锅,2022-10-03,18:20,1,1,5,753.6,766.6,87,2,0,1664792400,1,0,1
