,学工号,交易额,交易时间,商户名称,交易日期,具体时间,节假日,气温,平均风速,特殊天象
168,2021****86,13.0,2023/02/19 11:49,学苑食堂香恋香拌砂锅,2023-02-19,11:49,1,-11,2,
169,2021****86,3.25,2023/02/19 09:06,百味佳副食一组,2023-02-19,09:06,1,-11,2,
170,2021****86,12.28,2023/02/18 17:23,美食林小猪憨尼麻辣烫,2023-02-18,17:23,1,-12,1,
171,2021****86,14.0,2023/02/18 12:07,阳光广式猪脚饭,2023-02-18,12:07,1,-12,1,
172,2021****86,2.95,2023/02/18 08:55,百味佳副食一组,2023-02-18,08:55,1,-12,1,
173,2021****86,15.0,2023/02/17 17:48,美食林真牛铁板,2023-02-17,17:48,0,-13,1,
174,2021****86,32.0,2023/02/17 11:13,阳光广式猪脚饭,2023-02-17,11:13,0,-13,1,
175,2021****86,3.15,2023/02/16 08:51,百味佳副食一组,2023-02-16,08:51,0,-8,1,
176,2021****86,12.0,2023/02/15 17:40,学苑食堂副食三组,2023-02-15,17:40,0,-15,3,
177,2021****86,16.0,2023/02/15 11:48,阳光广式猪脚饭,2023-02-15,11:48,0,-15,3,
178,2021****86,2.2,2023/02/15 09:01,百味佳副食一组,2023-02-15,09:01,0,-15,3,
179,2021****86,14.0,2023/02/14 17:47,美食林阿咪酱骨扒肉,2023-02-14,17:47,0,-15,3,
180,2021****86,14.049999999999999,2023/02/14 11:14,百味佳副食一组,2023-02-14,11:14,0,-15,3,
181,2021****86,15.24,2023/02/13 17:40,美食林小猪憨尼麻辣烫,2023-02-13,17:40,0,-11,3,
182,2021****86,12.299999999999999,2023/02/13 11:35,百味佳副食一组,2023-02-13,11:35,0,-11,3,
183,2021****86,10.0,2023/02/12 17:48,美食林真牛铁板,2023-02-12,17:48,1,-13,2,霾
184,2021****86,4.7,2022/12/03 08:57,百味佳副食一组,2022-12-03,08:57,1,-18,1,
185,2021****86,16.0,2022/12/02 11:57,阳光广式猪脚饭,2022-12-02,11:57,0,-10,4,
186,2021****86,3.35,2022/12/02 08:53,百味佳副食一组,2022-12-02,08:53,0,-10,4,
187,2021****86,15.0,2022/12/01 17:15,友来朝鲜风味,2022-12-01,17:15,0,-20,3,
188,2021****86,20.5,2022/11/30 17:28,民族餐厅旋转小火锅,2022-11-30,17:28,0,-19,4,
189,2021****86,3.6,2022/11/30 09:09,百味佳副食一组,2022-11-30,09:09,0,-19,4,
190,2021****86,12.0,2022/11/29 16:59,美食林90后串炒饭,2022-11-29,16:59,0,-15,6,
191,2021****86,17.1,2022/11/29 11:52,百味佳副食一组,2022-11-29,11:52,0,-15,6,
192,2021****86,13.0,2022/11/28 16:15,美食林老上客砂锅,2022-11-28,16:15,0,-9,3,
193,2021****86,13.0,2022/11/28 11:52,民族餐厅铁板料理,2022-11-28,11:52,0,-9,3,
194,2021****86,9.4,2022/11/27 11:49,百味佳副食一组,2022-11-27,11:49,1,-7,3,
195,2021****86,15.0,2022/11/26 17:28,美食林陕西刀削面(川无界),2022-11-26,17:28,1,-12,2,
196,2021****86,12.8,2022/11/26 12:14,阳光小是小简餐,2022-11-26,12:14,1,-12,2,
197,2021****86,4.7,2022/11/26 08:30,百味佳副食一组,2022-11-26,08:30,1,-12,2,
198,2021****86,20.0,2022/11/25 17:35,美食林真牛铁板,2022-11-25,17:35,0,-5,6,"轻度（小）（弱） 雪, 轻雾"
